Timestamp,ERC-20 Address,Discord Name,Verified
3/16/2022 15:34:48,0x8805aECce9c6c1232e876F528D59E89ea9898fe8,Hikari#1793,1
3/16/2022 15:35:12,0x805BB32258721f90DEf1403F219e91CEF192a9F0,Ytkertia#7856,1
3/16/2022 15:45:08,0x255D3BcbDE465550e202c3C7Ad7edE9d90822Da7,Randallz#8406,1
3/16/2022 15:46:33,0xCb416eE0d4FF14680D6ad3D8bb19CC28219034BA,pranazzs#4430,1
3/16/2022 15:47:11,0x472fC668828db178f6fD9c3A7CDe8f3D6Ee85e10,Sajiyogi#8960,1
3/16/2022 15:47:31,0xAcfa4428EC2bfC53cE3053de0Bcf9C47B97cE1B7,Danzor#7950,1
3/16/2022 15:47:40,0x87D9fb6DFe537766E10354d5ff57c724e2f8383f,Voncharlie#8010,1
3/16/2022 15:47:48,0x3da985CEae249099C2c338b4fc8dA183e48b84A2,Cad#9900,1
3/16/2022 15:48:22,0x8ef1f5742449ac2542dC17Fa8B27d39F48BF2669,ALutmoon#1233,1
3/16/2022 15:48:30,0x13A1Cb046e7927Dca28ce49B78ecc684551ec1c4,Pinnacle94#9616,1
3/16/2022 15:48:32,0x622e09072396751EE6CC86aA4C34ef71D3765cC0,pinku#5369,1
3/16/2022 15:48:34,0x0B65e85aeC66AD02f782463B75e3D5a86284435B,rampelz#4469,1
3/16/2022 15:48:45,0x129a792004b278216D9d43E783DBa8C49c30dB25,Hmkeh99#1567,1
3/16/2022 15:48:50,0x3B4Cb5750f860bb40B6cd53B54Db4C5E9b8e9605,Roby Fazriyana#7496,1
3/16/2022 15:49:01,0x69EEA5459d44Cd9516C12a8B47084E024fc0ea33,nativeCA#3461,1
3/16/2022 15:49:04,0x47a648b8C546735d7177c48606aeB56e753c49f1,NoweedFlow#5123,1
3/16/2022 15:49:10,0x6C70C35d1745554B9b3925Ce4897355f9140B4C6,Fikri Tambunan#9300,1
3/16/2022 15:49:11,0xA685c0B99902dA38457BA2Da31387ea62E2F0eCa,Whyoucare#4047,1
3/16/2022 15:49:15,0xcbe6eea120999497bc01529d0924871135949026,! Icebear#5604,1
3/16/2022 15:49:31,0x16523AC68de82cDCE394211A1e4b40FC8c160678,peteru#7406,1
3/16/2022 15:49:31,0xff3C9b58FaB9DF27a75d0687aE3f6651275EF1CF,Ipal#4091,1
3/16/2022 15:49:39,0x350061d5B3B09fd44691F22Fd9DEd9a5693Ed41F,OneDayHIB#1681,1
3/16/2022 15:49:45,0x634ed8C2dF8fBe613eE25DEBE1a460B4DF2487d7,"scarlet(σ, σ)#5138",1
3/16/2022 15:49:53,0xf31E27c79C81e1E7e091205Dd3c9135d54934AAb,Dimasnungki#6697,1
3/16/2022 15:50:09,0x29Fc1641c9c1daC536e328A2fF052a190ea3bB80,Adiehart#5783,1
